name,engine,kmpl,brand,selling_price,ex_showroom_price
"Hero Karizma ZMR",100-200,57,Hero,43000,108000
"Hero Honda Splendor Plus",100-200,63,Hero,20000,30000
"Yo Style",0-100,78,YoBykes,20000,37675
"Hero Splendor iSmart",100-200,61,Hero,40000,52271
"Hero Super Splendor",100-200,49,Hero,30000,57000
"Bajaj Discover 100",100-200,57,Bajaj,21000,42859
"Yamaha Fazer [2009-2016]",200-300,41,Yamaha,35000,84751
"Bajaj Discover 125",100-200,53,Bajaj,23000,57549
"Hero Super Splendor",100-200,51,Hero,40000,57000
"Honda Shine",100-200,53,Honda,40000,50000
"Bajaj Discover 125 M",100-200,48,Bajaj,45000,47186
"Bajaj Avenger Street 150 [2018]",100-200,54,Bajaj,60000,80435
"Yamaha Fazer [2009-2016]",200-300,44,Yamaha,40000,84751
"Hero Passion X Pro [2016-2017]",100-200,62,Hero,42000,59095
"Honda Activa [2000-2015]",200-300,46,Honda,18000,50267
"TVS Star City",0-100,75,TVS,15000,46575
"Hero Honda Hunk",100-200,62,Hero,45000,55000
"TVS Star City",0-100,77,TVS,25000,47108
"Bajaj Pulsar 150",100-200,60,Bajaj,70000,74000
"Bajaj Discover 100",100-200,52,Bajaj,23000,42859
"TVS Victor",0-100,78,TVS,10000,54852
"Hero Honda Splendor Plus",100-200,53,Hero,25000,35000
"Honda Aviator",100-200,45,Honda,25000,59183
"Bajaj Pulsar 180",100-200,64,Bajaj,50000,85011
"Bajaj Avenger [2015]",100-200,58,Bajaj,60000,75502
"Hero CD Dawn",100-200,53,Hero,35000,45000
"Hero Maestro",100-200,47,Hero,50000,49412
"Honda CB Shine SP",100-200,53,Honda,50000,64750
"Hero Honda CD Deluxe",100-200,57,Hero,25500,35500
"Hero Honda Hunk",100-200,61,Hero,35000,45000
"Hero Honda CD Deluxe",100-200,52,Hero,20000,30000
"Honda Activa 3G",100-200,50,Honda,40000,54605
"Bajaj Pulsar 135 LS",100-200,51,Bajaj,45000,64589
"Bajaj Pulsar 150 [2001-2011]",200-300,46,Bajaj,30000,40000
"Hero Pleasure",100-200,60,Hero,30000,49600
"Hero Honda CBZ extreme",100-200,64,Hero,30000,78700
"Bajaj Pulsar 150",100-200,53,Bajaj,40000,74000
"Honda CB Twister",100-200,49,Honda,25000,53857
"Honda Livo",100-200,64,Honda,45000,55000
"Bajaj Pulsar AS200",200-300,43,Bajaj,65000,92074
"Honda Activa 3G",100-200,47,Honda,40000,54605
"Hero Honda Hunk",100-200,58,Hero,40000,50000
"Honda CB Hornet 160R",100-200,46,Honda,70000,83340
"Hero HF Deluxe",100-200,50,Hero,35000,45000
"Hero Splendor PRO",100-200,47,Hero,35000,51994
"Bajaj Boxer",0-100,77,Bajaj,15000,25000
"Royal Enfield Electra 5 S",300-400,37,Royal_Enfield,99000,109000
"Royal Enfield Electra 5 S",300-400,28,Royal_Enfield,90000,100000
"Hero Honda Hunk",100-200,61,Hero,20000,30000
"Hero Ignitor",100-200,62,Hero,36000,65599
"Bajaj Discover 100 M",100-200,59,Bajaj,32000,44756
"Honda Activa 3G",100-200,48,Honda,50000,54605
"Bajaj Pulsar 135 LS",100-200,56,Bajaj,50000,64589
"Bajaj Pulsar 220 DTS-i",200-300,48,Bajaj,60000,70000
"Hero Honda CBZ extreme",100-200,52,Hero,40000,78700
"Hero Honda CBZ extreme",100-200,46,Hero,35000,78700
"Royal Enfield Thunder 500",500-1000,17,Royal_Enfield,175000,190000
"UM Renegade Mojave",0-100,68,UM,170000,182000
"KTM RC200",200-300,35,KTM,165000,178000
"Bajaj Dominar 400",300-400,27,Bajaj,145000,160000
"Royal Enfield Classic 350",300-400,32,Royal_Enfield,135000,147000
"KTM RC390",300-400,36,KTM,135000,237000
"Hyosung GT250R",200-300,30,Hyosung,135000,345000
"Royal Enfield Thunder 350",300-400,41,Royal_Enfield,125000,150000
"Royal Enfield Thunder 350",300-400,38,Royal_Enfield,120000,150000
"Royal Enfield Classic 350",300-400,23,Royal_Enfield,120000,147000
"KTM RC200",200-300,43,KTM,120000,178000
"Royal Enfield Thunder 350",300-400,23,Royal_Enfield,115000,150000
"KTM 390 Duke ",300-400,25,KTM,115000,240000
"Mahindra Mojo XT300",300-400,37,Mahindra,115000,140000
"Royal Enfield Classic 350",300-400,24,Royal_Enfield,115000,147000
"Royal Enfield Classic 350",300-400,33,Royal_Enfield,111000,147000
"Royal Enfield Classic 350",300-400,32,Royal_Enfield,110000,147000
"Royal Enfield Thunder 500",500-1000,20,Royal_Enfield,110000,190000
"Royal Enfield Classic 350",300-400,37,Royal_Enfield,110000,147000
"Royal Enfield Thunder 500",500-1000,15,Royal_Enfield,105000,190000
"Bajaj Pulsar RS200",200-300,47,Bajaj,105000,126000
"Royal Enfield Thunder 350",300-400,29,Royal_Enfield,105000,150000
"Royal Enfield Bullet 350",300-400,34,Royal_Enfield,105000,117000
"Royal Enfield Classic 350",300-400,40,Royal_Enfield,100000,147000
"Royal Enfield Classic 500",500-1000,16,Royal_Enfield,95000,175000
"Royal Enfield Classic 500",500-1000,14,Royal_Enfield,90000,175000
"Bajaj Avenger 220",200-300,30,Bajaj,90000,95000
"Bajaj Avenger 150",100-200,49,Bajaj,75000,80000
"Honda CB Hornet 160R",100-200,45,Honda,80000,87000
"Yamaha FZ S V 2.0",100-200,50,Yamaha,78000,84000
"Honda CB Hornet 160R",100-200,54,Honda,75000,87000
"Yamaha FZ 16",100-200,55,Yamaha,75000,82000
"Bajaj Avenger 220",200-300,31,Bajaj,75000,95000
"Bajaj Avenger 220",200-300,42,Bajaj,72000,95000
"TVS Apache RTR 160",100-200,47,TVS,65000,81000
"Bajaj Pulsar 150",100-200,64,Bajaj,65000,74000
"Honda CBR 150",100-200,58,Honda,65000,120000
"Hero Extreme",100-200,51,Hero,65000,78700
"Honda CB Hornet 160R",100-200,55,Honda,60000,87000
"Bajaj Avenger 220 dtsi",200-300,37,Bajaj,60000,95000
"Honda CBR 150",100-200,60,Honda,60000,120000
"Bajaj Avenger 150 street",100-200,50,Bajaj,60000,80000
"Yamaha FZ  v 2.0",100-200,47,Yamaha,60000,84000
"Yamaha FZ  v 2.0",100-200,57,Yamaha,60000,84000
"Bajaj Pulsar  NS 200",200-300,35,Bajaj,60000,99000
"TVS Apache RTR 160",100-200,62,TVS,60000,81000
"Hero Extreme",100-200,56,Hero,55000,78700
"Yamaha FZ S V 2.0",100-200,47,Yamaha,55000,84000
"Bajaj Pulsar 220 F",200-300,37,Bajaj,52000,94000
"Bajaj Pulsar 220 F",200-300,30,Bajaj,51000,94000
"TVS Apache RTR 180",100-200,63,TVS,50000,82600
"Hero Passion X pro",100-200,49,Hero,50000,55000
"Bajaj Pulsar NS 200",200-300,38,Bajaj,50000,99000
"Bajaj Pulsar NS 200",200-300,47,Bajaj,50000,99000
"Yamaha Fazer ",100-200,50,Yamaha,50000,88000
"Honda Activa 4G",100-200,60,Honda,48000,51000
"TVS Sport ",0-100,78,TVS,48000,52000
"Yamaha FZ S V 2.0",100-200,45,Yamaha,48000,84000
"Honda Dream Yuga ",100-200,60,Honda,48000,54000
"Honda Activa 4G",100-200,60,Honda,45000,51000
"Bajaj Avenger Street 220",200-300,47,Bajaj,45000,95000
"TVS Apache RTR 180",100-200,55,TVS,45000,82600
"Bajaj Pulsar NS 200",200-300,39,Bajaj,45000,99000
"Bajaj Avenger 220 dtsi",200-300,30,Bajaj,45000,95000
"Hero Splender iSmart",100-200,50,Hero,45000,54000
"Activa 3g",0-100,74,Activa,45000,54000
"Hero Passion Pro",100-200,63,Hero,45000,55000
"TVS Apache RTR 160",100-200,60,TVS,42000,81000
"Honda CB Trigger",100-200,47,Honda,42000,73000
"Hero Splender iSmart",100-200,52,Hero,40000,54000
"Yamaha FZ S ",100-200,52,Yamaha,40000,83000
"Hero Passion Pro",100-200,60,Hero,40000,55000
"Bajaj Pulsar 135 LS",100-200,60,Bajaj,40000,64000
"Activa 4g",0-100,69,Activa,40000,51000
"Honda CB Unicorn",100-200,57,Honda,38000,72000
"Hero Honda CBZ extreme",100-200,60,Hero,38000,78700
"Honda Karizma",100-200,45,Honda,35000,105000
"Honda Activa 125",100-200,59,Honda,35000,57000
"TVS Jupyter",0-100,75,TVS,35000,52000
"Honda Karizma",100-200,55,Honda,31000,105000
"Hero Honda Passion Pro",100-200,56,Hero,30000,51000
"Hero Splender Plus",100-200,50,Hero,30000,48000
"Honda CB Shine",100-200,58,Honda,30000,58000
"Bajaj Discover 100",100-200,55,Bajaj,27000,47000
"Bajaj Pulsar 150",100-200,55,Bajaj,25000,75000
"Suzuki Access 125",100-200,47,Suzuki,25000,58000
"TVS Wego",0-100,69,TVS,25000,52000
"Honda CB twister",100-200,63,Honda,25000,51000
"Hero Glamour",100-200,51,Hero,25000,57000
"Hero Super Splendor",100-200,61,Hero,20000,57000
"Bajaj Pulsar 150",100-200,47,Bajaj,20000,75000
"Bajaj Discover 125",100-200,48,Bajaj,20000,57000
"Hero Hunk",100-200,57,Hero,20000,75000
"Hero  Ignitor Disc",100-200,54,Hero,20000,65000
"Hero  CBZ Xtreme",100-200,53,Hero,20000,78700
"Bajaj  ct 100",100-200,60,Bajaj,18000,32000
"Activa 3g",0-100,72,Activa,17000,52000
"Honda CB twister",100-200,56,Honda,16000,51000
"Bajaj Discover 125",100-200,54,Bajaj,15000,57000
"Honda CB Shine",100-200,58,Honda,12000,58000
"Bajaj Pulsar 150",100-200,63,Bajaj,10000,75000
